time,LFP power,stage (number),wake (0) vs sleep (1),stage (full),LFP freq band,LFP freq (Hz)
1656623133.0,0.5117521367521367,0,0,wake,beta,12.7
1656623733.0,0.4893162393162393,0,0,wake,beta,12.7
1656624333.0,0.5165598290598291,0,0,wake,beta,12.7
1656624933.0,0.9332264957264957,0,0,wake,beta,12.7
1656625533.0,1.0,0,0,wake,beta,12.7
1656627933.0,0.6586538461538461,0,0,wake,beta,12.7
1656631533.0,0.7056623931623932,0,0,wake,beta,12.7
1656632133.0,0.6485042735042735,0,0,wake,beta,12.7
1656633333.0,0.657051282051282,0,0,wake,beta,12.7
1656633933.0,0.7072649572649573,0,0,wake,beta,12.7
1656634533.0,0.6372863247863247,0,0,wake,beta,12.7
1656635133.0,0.6410256410256411,0,0,wake,beta,12.7
1656635733.0,0.5608974358974359,0,0,wake,beta,12.7
1656636333.0,0.5956196581196581,0,0,wake,beta,12.7
1656636933.0,0.6720085470085471,0,0,wake,beta,12.7
1656637533.0,0.781517094017094,0,0,wake,beta,12.7
1656638133.0,0.7297008547008547,0,0,wake,beta,12.7
1656638733.0,0.7446581196581197,0,0,wake,beta,12.7
1656639333.0,0.7366452991452992,0,0,wake,beta,12.7
1656639933.0,0.6330128205128205,0,0,wake,beta,12.7
1656640533.0,0.48183760683760685,0,0,wake,beta,12.7
1656641133.0,0.45405982905982906,0,0,wake,beta,12.7
1656641733.0,0.37713675213675213,0,0,wake,beta,12.7
1656642333.0,0.4166666666666667,0,0,wake,beta,12.7
1656642933.0,0.4391025641025641,0,0,wake,beta,12.7
1656643533.0,0.5357905982905983,0,0,wake,beta,12.7
1656644133.0,0.48023504273504275,0,0,wake,beta,12.7
1656644733.0,0.46955128205128205,0,0,wake,beta,12.7
1656645333.0,0.4204059829059829,0,0,wake,beta,12.7
1656645933.0,0.405982905982906,2,1,light,beta,12.7
1656646533.0,0.42094017094017094,2,1,light,beta,12.7
1656647134.0,0.45085470085470086,3,1,deep,beta,12.7
1656647734.0,0.5165598290598291,2,1,light,beta,12.7
1656648334.0,0.6047008547008547,2,1,light,beta,12.7
1656648934.0,0.6452991452991453,2,1,light,beta,12.7
1656649534.0,0.7019230769230769,2,1,light,beta,12.7
1656650134.0,0.6709401709401709,3,1,deep,beta,12.7
1656650734.0,0.655448717948718,2,1,light,beta,12.7
1656651334.0,0.7104700854700855,2,1,light,beta,12.7
1656651934.0,0.7216880341880342,2,1,light,beta,12.7
1656652534.0,0.6351495726495726,2,1,light,beta,12.7
1656653134.0,0.6821581196581197,2,1,light,beta,12.7
1656653734.0,0.5844017094017094,2,1,light,beta,12.7
1656654334.0,0.6068376068376068,3,1,deep,beta,12.7
1656654934.0,0.6752136752136753,2,1,light,beta,12.7
1656655534.0,0.6239316239316239,2,1,light,beta,12.7
1656656134.0,0.5769230769230769,2,1,light,beta,12.7
1656656734.0,0.5571581196581197,2,1,light,beta,12.7
1656657334.0,0.5416666666666666,2,1,light,beta,12.7
