time,LFP power,stage (number),wake (0) vs sleep (1),stage (full),LFP freq band,LFP freq (Hz)
1658252759.0,2.1784733142828264e-07,0,0,wake,alpha,7.81
1658253359.0,4.747954659334365e-07,0,0,wake,alpha,7.81
1658253959.0,2.094685879118102e-07,0,0,wake,alpha,7.81
1658254559.0,2.1854556005465533e-07,0,0,wake,alpha,7.81
1658255159.0,6.318969068672941e-07,0,0,wake,alpha,7.81
1658255759.0,2.1156327379092833e-07,0,0,wake,alpha,7.81
1658256359.0,2.723091642853533e-07,0,0,wake,alpha,7.81
1658256959.0,1.7385892796680247e-07,0,0,wake,alpha,7.81
1658258426.0,6.0054644154315986e-06,0,0,wake,alpha,7.81
1658259026.0,8.96316087674636e-06,0,0,wake,alpha,7.81
1658259626.0,1.370762439294886e-05,0,0,wake,alpha,7.81
1658260226.0,7.478028588451624e-07,0,0,wake,alpha,7.81
1658260826.0,0.650219156370457,0,0,wake,alpha,7.81
1658261426.0,0.8003399155699711,0,0,wake,alpha,7.81
1658262026.0,0.8504881031449693,0,0,wake,alpha,7.81
1658262626.0,0.8502816648692958,0,0,wake,alpha,7.81
1658263226.0,0.8003235030078796,0,0,wake,alpha,7.81
1658263826.0,0.9002188240136308,0,0,wake,alpha,7.81
1658264426.0,0.850288911784209,0,0,wake,alpha,7.81
1658265026.0,0.8502899702988066,0,0,wake,alpha,7.81
1658265626.0,0.9002345767496704,0,0,wake,alpha,7.81
1658266226.0,0.8002825065140821,0,0,wake,alpha,7.81
1658266826.0,0.8502349687352213,0,0,wake,alpha,7.81
1658267426.0,0.8002616881293582,0,0,wake,alpha,7.81
1658268026.0,0.7502699728913015,0,0,wake,alpha,7.81
1658268626.0,0.8002378338465668,0,0,wake,alpha,7.81
1658269226.0,0.750242532506285,0,0,wake,alpha,7.81
1658269826.0,0.6501567780214341,0,0,wake,alpha,7.81
1658270426.0,0.850107245263742,0,0,wake,alpha,7.81
1658271026.0,0.8002259863032345,0,0,wake,alpha,7.81
1658271626.0,0.7502107631037851,0,0,wake,alpha,7.81
1658272226.0,0.6503043786654489,0,0,wake,alpha,7.81
1658272826.0,0.8002201107093435,0,0,wake,alpha,7.81
1658273426.0,0.8001987232682891,0,0,wake,alpha,7.81
1658274026.0,0.7502437041339202,0,0,wake,alpha,7.81
1658274626.0,0.7502568615541555,0,0,wake,alpha,7.81
1658275226.0,0.7502669942479814,0,0,wake,alpha,7.81
1658275827.0,0.9501714237858094,0,0,wake,alpha,7.81
1658276427.0,0.9501892705094995,0,0,wake,alpha,7.81
1658277027.0,0.8002113444489394,0,0,wake,alpha,7.81
1658277627.0,0.650318067437669,0,0,wake,alpha,7.81
1658278227.0,0.6503944201344201,0,0,wake,alpha,7.81
1658278827.0,0.8501954692435988,0,0,wake,alpha,7.81
1658279427.0,0.8002053822746988,0,0,wake,alpha,7.81
1658280027.0,0.8001863562428588,0,0,wake,alpha,7.81
1658280627.0,0.6002939034206589,0,0,wake,alpha,7.81
1658281227.0,0.7501468311960685,0,0,wake,alpha,7.81
1658281827.0,0.9001086979982221,0,0,wake,alpha,7.81
1658282427.0,0.7501951723567868,0,0,wake,alpha,7.81
1658283027.0,0.6502237262768166,0,0,wake,alpha,7.81
